EDAD,USO TIC,PROPORCION
5-11,COMPUTADOR EN CUALQUIER LUGAR,65
5-11,INTERNET CUALQ. LUGAR Y CUALQ. DISPOSIT.,58.5
5-11,USO TELEFONO CELULAR,49.8
5-11,ESCUCHO RADIO EN HOGAR,27.9
5-11,TIENE TELF. CELULAR,12.4
12-24,COMPUTADOR EN CUALQUIER LUGAR,76.3
12-24,INTERNET CUALQ. LUGAR Y CUALQ. DISPOSIT.,81.5
12-24,USO TELEFONO CELULAR,89.6
12-24,ESCUCHO RADIO EN HOGAR,50.3
12-24,TIENE TELF. CELULAR,70.7
25-54,COMPUTADOR EN CUALQUIER LUGAR,48.8
25-54,INTERNET CUALQ. LUGAR Y CUALQ. DISPOSIT.,55.5
25-54,USO TELEFONO CELULAR,96.7
25-54,ESCUCHO RADIO EN HOGAR,60.9
25-54,TIENE TELF. CELULAR,90.6
55-más,COMPUTADOR EN CUALQUIER LUGAR,16.3
55-más,INTERNET CUALQ. LUGAR Y CUALQ. DISPOSIT.,17.4
55-más,USO TELEFONO CELULAR,84.1
55-más,ESCUCHO RADIO EN HOGAR,63.9
55-más,TIENE TELF. CELULAR,74.1
