Pais,Continente,Dias Festivos/año,Pib per cápita,Dias vacaciones,% Desempleo,Muertes Vx100.000h,% Informalidad,Ranking felicidad,Puntaje felicidad,Ranking competitividad,puntaje competitividad,Ranking doing business,Expectativa vida
Colombia,America,18,14100,,9.2,37.6,64,36,6537,61,4.3,53,74
Brasil,America,12,15200,30,11.5,30.53,37,22,6635,81,4.06,123,75
Argentina,America,16,20000,,6.6,7.62,47,24,6599,104,3.81,116,76
Chile,America,15,24100,,6.6,3.88,33,20,6652,33,4.64,57,79
Venezuela,America,14,13800,,6.9,47.04,48,82,5250,130,3.27,187,74
Finlandia,Europa,15,42200,30,9,2,,5,7469,10,5.44,13,81
Turquia,Europa,14,24900,,10.3,3.23,17,69,5500,55,4.39,69,75
Rusia,Europa,14,26500,,5.7,9.21,21,49,5963,43,4.51,40,71
Malta,Europa,14,39900,,5.3,0.7,,27,6527,40,4.52,76,82
España,Europa,14,36400,30,19.4,0.64,23,34,6403,32,4.68,32,83
Tailandia,Asia,16,16900,15,0.6,6.98,43,32,6424,34,4.64,46,75
Libano,Asia,16,18500,,6.8,2.03,20,88,5225,101,3.84,126,79
Corea del Sur,Asia,16,37700,15,3.7,1.1,,55,5838,26,5.03,5,82
Japón,Asia,16,41300,20,3.1,0.28,13,51,5920,8,5.48,34,84
India,Asia,18,6600,21,3.5,5.75,85,122,4315,39,4.52,130,68
